empty,4096,0,448,489,450,498
empty,16384,0,1587,1583,1580,1632
empty,65536,0,6117,6116,6112,6162
empty,262144,0,29252,24270,24268,24280
empty,524288,0,50423,48430,48427,48437
1/4,4096,1024,607,1095,402,347
1/4,16384,4096,2418,4367,1591,1366
1/4,65536,16384,9670,17457,6348,5442
1/4,262144,65536,38658,69838,25380,21752
1/4,524288,131072,77356,139652,50736,43490
1/2,4096,2048,1582,2862,723,649
1/2,16384,8192,6297,11429,2874,2577
1/2,65536,32768,25151,45708,11481,10280
1/2,262144,131072,100620,182803,45912,41073
1/2,524288,262144,201222,365616,91927,82145
3/4,4096,3072,2310,4058,968,950
3/4,16384,12288,9228,16214,3856,3782
3/4,65536,49152,36807,64832,15411,15109
3/4,262144,196608,146074,259365,61608,60401
3/4,524288,393216,292654,518745,123206,120799
full,4096,4096,2914,5262,1816,1270
full,16384,16384,11361,21032,7026,5063
full,65536,65536,45701,84240,27987,20239
full,262144,262144,182616,335812,111683,80934
full,524288,524288,363271,670776,225414,161866
rand,4096,896,641,1175,530,324
rand,16384,3136,2278,4092,1959,1236
rand,65536,14208,11188,19116,9270,6313
rand,262144,51904,42156,70964,35769,24711
rand,524288,103424,84643,142184,71724,49749
rand2,4096,3968,2760,5113,1980,1229
rand2,16384,15360,10711,19638,7863,4794
rand2,65536,61888,43126,79853,31981,19236
rand2,262144,246400,171870,317508,130359,76709
rand2,524288,491712,343149,633936,258609,153245
