128, 100000, 6091, 2634, 2084, 3329, 2327, 1648, 2191, 1774, 1657, 1367, 1150
256, 100000, 11445, 5008, 3363, 6593, 3976, 3021, 2954, 3455, 2061, 1938, 2012
512, 100000, 22133, 12736, 6163, 14349, 7268, 5937, 5141, 8279, 4053, 3094, 3562
1024, 100000, 43534, 24440, 12885, 27446, 13877, 12664, 7503, 14728, 8034, 5380, 5443
2048, 100000, 86305, 47782, 24381, 53797, 27908, 24044, 13547, 28291, 15484, 10813, 11200
4096, 100000, 171882, 94751, 47284, 106064, 54288, 47036, 26236, 55040, 29973, 19904, 21735
16384, 100000, 685498, 417421, 266764, 438934, 239919, 204391, 181020, 253740, 165795, 182358, 117629
65536, 100000, 2740076, 1663774, 1062554, 1756262, 938962, 973695, 792764, 1011261, 660586, 729784, 467945
