128, 100000, 8080, 2970, 1917, 3696, 1845, 1769, 3216, 1945, 1571
256, 100000, 13982, 5022, 2865, 7054, 3139, 4037, 4395, 3722, 2263
512, 100000, 25039, 9222, 5951, 13525, 6407, 6806, 6850, 6759, 5071
1024, 100000, 46586, 17792, 10671, 26160, 11598, 12483, 11602, 12346, 8770
2048, 100000, 86920, 34936, 20131, 51254, 21978, 23776, 21038, 23976, 17327
4096, 100000, 171457, 68884, 39006, 101823, 42858, 46424, 39651, 47139, 33659
16384, 100000, 671985, 311616, 210776, 409935, 191207, 210032, 207815, 219203, 164703
65536, 100000, 2587279, 1258949, 870655, 1645715, 796933, 850206, 860592, 899470, 724050
